name,description,price,sale_price,quantity,category,sku,images,sizes,colors,is_featured,is_active,sale_active,sale_start_date,sale_end_date,slug,collection
Handloom Festival Vest,"Handloom Festival Vest from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1299,0,120,shakti,SS-FINAL-038,"[""/final-products/go38/go38-01.webp"", ""/final-products/go38/go38-02.webp"", ""/final-products/go38/go38-03.webp"", ""/final-products/go38/go38-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-38,Final Products
Black Mesh Resort Piece,"Black Mesh Resort Piece from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 3 product views for front, side, back, and detail review before enquiry confirmation.",1499,0,120,shakti,SS-FINAL-039,"[""/final-products/go39/go39-01.webp"", ""/final-products/go39/go39-02.webp"", ""/final-products/go39/go39-03.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-39,Final Products
Ritual Side Panel Dress,"Ritual Side Panel Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1999,0,120,shakti,SS-FINAL-040,"[""/final-products/go40/go40-01.webp"", ""/final-products/go40/go40-02.webp"", ""/final-products/go40/go40-03.webp"", ""/final-products/go40/go40-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-40,Final Products
Ivory Frayed Texture Top,"Ivory Frayed Texture Top from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1199,0,120,shakti,SS-FINAL-041,"[""/final-products/go41/go41-01.webp"", ""/final-products/go41/go41-02.webp"", ""/final-products/go41/go41-03.webp"", ""/final-products/go41/go41-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-41,Final Products
Shadow Studio Kaftan,"Shadow Studio Kaftan from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 5 product views for front, side, back, and detail review before enquiry confirmation.",1899,0,120,shakti,SS-FINAL-042,"[""/final-products/go42/go42-01.webp"", ""/final-products/go42/go42-02.webp"", ""/final-products/go42/go42-03.webp"", ""/final-products/go42/go42-04.webp"", ""/final-products/go42/go42-05.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-42,Final Products
Nomad Open Front Layer,"Nomad Open Front Layer from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 5 product views for front, side, back, and detail review before enquiry confirmation.",1599,0,120,shakti,SS-FINAL-043,"[""/final-products/go43/go43-01.webp"", ""/final-products/go43/go43-02.webp"", ""/final-products/go43/go43-03.webp"", ""/final-products/go43/go43-04.webp"", ""/final-products/go43/go43-05.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-43,Final Products
Temple Cutwork Dress,"Temple Cutwork Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 8 product views for front, side, back, and detail review before enquiry confirmation.",2099,0,120,shakti,SS-FINAL-044,"[""/final-products/go44/go44-01.webp"", ""/final-products/go44/go44-02.webp"", ""/final-products/go44/go44-03.webp"", ""/final-products/go44/go44-04.webp"", ""/final-products/go44/go44-05.webp"", ""/final-products/go44/go44-06.webp"", ""/final-products/go44/go44-07.webp"", ""/final-products/go44/go44-08.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-44,Final Products
Shakti Premium Layered Vest,"Shakti Premium Layered Vest from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1499,0,120,shakti,SS-FINAL-045,"[""/final-products/go45/go45-01.webp"", ""/final-products/go45/go45-02.webp"", ""/final-products/go45/go45-03.webp"", ""/final-products/go45/go45-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-45,Final Products
Obsidian Fringe Statement Dress,"Obsidian Fringe Statement Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 7 product views for front, side, back, and detail review before enquiry confirmation.",2199,0,120,shakti,SS-FINAL-046,"[""/final-products/go46/go46-01.webp"", ""/final-products/go46/go46-02.webp"", ""/final-products/go46/go46-03.webp"", ""/final-products/go46/go46-04.webp"", ""/final-products/go46/go46-05.webp"", ""/final-products/go46/go46-06.webp"", ""/final-products/go46/go46-07.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-46,Final Products
Ivory Ritual Studio Piece,"Ivory Ritual Studio Piece from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1799,0,120,shakti,SS-FINAL-047,"[""/final-products/go47/go47-01.webp"", ""/final-products/go47/go47-02.webp"", ""/final-products/go47/go47-03.webp"", ""/final-products/go47/go47-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-47,Final Products
